"Class Nbr","Subject","Catalog","Section","Description","Capacity","Total Enrolled","Available Seats","Total Waitlisted","In Shopping Cart","Unmet Demand","Class Start Time","Class End Time","Meeting Days","Facility ID","Instructor","Start Date","End Date"
2003,"AC",431,1,"Adv Acct: Invest & Owner Inter",20,7,13,0,0,0,"8:00AM","9:15AM","MW","SN213","Sukyoon Jung","01/10/2019","04/26/2019"
2935,"AC",436,1,"Auditing",15,11,4,0,0,0,"6:00PM","8:45PM","T","SN112","Ran Li","01/10/2019","04/26/2019"
2806,"AC",421,1,"Accounting Information Systems",28,8,20,0,0,0,"11:00AM","12:15PM","TR","SN239","Weiling Ke","01/10/2019","04/26/2019"
4296,"AC",604,61,"Fin & Managerial Acct, Dec Mkg",2,2,0,0,0,0,,,,"ONLINE","John Stephen DeJoy","01/07/2019","03/15/2019"
2936,"AC",636,1,"Auditing",15,11,4,0,1,0,"6:00PM","8:45PM","T","SN112","Ran Li","01/10/2019","04/26/2019"
4285,"AC",490,35,"Internship in Accounting",30,1,29,0,0,0,,,,,"Jesse A Sherman","01/10/2019","04/26/2019"
3610,"AC",203,1,"Managerial Accounting",78,16,62,0,9,0,,,,"ONLINE","John Stephen DeJoy","01/10/2019","04/26/2019"
2197,"AC",205,1,"Intro Fin & Managerial Acct",40,38,2,0,1,0,"2:30PM","3:45PM","MW","SN213","Sukyoon Jung","01/10/2019","04/26/2019"
3331,"AC",202,1,"Financial Accounting",55,68,-13,0,6,19,"8:00AM","9:15AM","TR","SNB10L","Wentao Wu","01/10/2019","04/26/2019"
2749,"AC",311,1,"Intermediate Financial Acct I",20,19,1,0,1,0,"11:00AM","12:15PM","TR","SN118","Wentao Wu","01/10/2019","04/26/2019"
3355,"AC",305,1,"Cost Accounting",16,21,-5,0,3,8,"1:00PM","2:15PM","TR","SN175","Jesse A Sherman","01/10/2019","04/26/2019"
2005,"AE",425,1,"Aerodynamics",48,48,0,0,1,1,"2:00PM","3:15PM","MW","RL244","Brian Helenbrook","01/10/2019","04/26/2019"
2093,"AE",401,31,"Adv Exp Meth in MAE",33,31,2,0,1,0,"1:00PM","2:50PM","F","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2006,"AE",427,1,"Design of Propulsion Systems",70,41,29,0,0,0,"8:00AM","9:15AM","TR","CB176","Douglas Gordon Bohl","01/10/2019","04/26/2019"
2091,"AE",401,21,"Adv Exp Meth in MAE",33,34,-1,0,1,2,"8:00AM","9:50AM","W","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2090,"AE",401,20,"Adv Exp Meth in MAE",33,33,0,0,2,2,"8:00AM","9:50AM","W","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
2092,"AE",401,30,"Adv Exp Meth in MAE",33,33,0,0,1,1,"1:00PM","2:50PM","F","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
3052,"AE",458,1,"Design of Aircraft Structures",52,44,8,0,1,0,"4:00PM","5:15PM","MW","SNB10L","Craig Gordon Merrett","01/10/2019","04/26/2019"
3906,"AE",451,20,"Aircraft Design II",48,9,39,0,0,0,"11:00AM","11:50AM","F","CB163","Kenneth D Visser","01/10/2019","04/26/2019"
2173,"AE",465,23,"Adv Indep Proj I",99,0,99,0,0,0,,,,,"Kenneth D Visser","01/10/2019","04/26/2019"
3735,"AE",451,1,"Aircraft Design II",48,42,6,0,0,0,"11:00AM","12:15PM","TR","CB163","Kenneth D Visser","01/10/2019","04/26/2019"
2007,"AE",429,1,"Aircraft Perf & Flight Mech",50,43,7,0,2,0,"11:00AM","12:15PM","TR","CB194","Pasquale Piperni","01/10/2019","04/26/2019"
3905,"AE",451,10,"Aircraft Design II",48,33,15,0,0,0,"10:00AM","10:50AM","F","CB163","Kenneth D Visser","01/10/2019","04/26/2019"
2085,"AE",201,30,"Exp Methods in MAE",36,36,0,0,0,0,"8:00AM","9:50AM","F","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
2084,"AE",201,21,"Exp Methods in MAE",36,31,5,0,0,0,"1:00PM","2:50PM","W","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2086,"AE",201,31,"Exp Methods in MAE",36,31,5,0,1,0,"8:00AM","9:50AM","F","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2082,"AE",201,11,"Exp Methods in MAE",36,35,1,0,0,0,"8:00AM","9:50AM","M","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2081,"AE",201,10,"Exp Methods in MAE",36,35,1,0,0,0,"8:00AM","9:50AM","M","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
2083,"AE",201,20,"Exp Methods in MAE",36,35,1,0,2,1,"1:00PM","2:50PM","W","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
2088,"AE",401,10,"Adv Exp Meth in MAE",33,31,2,0,2,0,"1:00PM","2:50PM","M","CB184","Ronald LaFleur","01/10/2019","04/26/2019"
2184,"AE",366,23,"Independent Proj II",99,0,99,0,0,0,,,,,"Kenneth D Visser","01/10/2019","04/26/2019"
2089,"AE",401,11,"Adv Exp Meth in MAE",33,31,2,0,0,0,"1:00PM","2:50PM","M","CB179DUP","Ronald LaFleur","01/10/2019","04/26/2019"
2004,"AE",212,1,"Intro to Engin Design",70,33,37,0,4,0,"3:00PM","3:50PM","MWF","SC162","Marcias J. Martinez","01/10/2019","04/26/2019"
2183,"AE",365,23,"Independent Proj I",99,0,99,0,0,0,,,,,"Kenneth D Visser","01/10/2019","04/26/2019"
3988,"ANTH",311,1,"Ethnography",20,8,12,0,2,0,"4:00PM","5:15PM","TR","SN112","Annegret D Staiger","01/10/2019","04/26/2019"
4095,"ANTH",255,1,"Culture and the Environment",20,20,0,0,4,4,"11:00AM","12:15PM","TR","SC166","Camille Frazier","01/10/2019","04/26/2019"
2837,"ANTH",499,18,"Minor Portfolio",30,0,30,0,0,0,,,,,"Annegret D Staiger","01/10/2019","04/26/2019"
3987,"ANTH",201,1,"Intro to Cultural Anthropology",19,19,0,5,11,16,"9:30AM","10:45AM","TR","SC166","Camille Frazier","01/10/2019","04/26/2019"
4061,"ANTH",238,1,"Men and Masculinities",40,40,0,0,3,3,"1:00PM","2:15PM","TR","SC166","Annegret D Staiger","01/10/2019","04/26/2019"
4306,"AS",302,2,"Air Force Leadership & Mgt II",30,3,27,0,1,0,"2:00PM","5:00PM","W","OM1106","Wesley Nims","01/10/2019","04/26/2019"
4307,"AS",302,3,"Air Force Leadership & Mgt II",30,6,24,0,0,0,"8:00AM","11:00AM","F","SN110","Wesley Nims","01/10/2019","04/26/2019"
2012,"AS",302,1,"Air Force Leadership & Mgt II",20,3,17,0,1,0,"8:00AM","11:00AM","T","SN110","Wesley Nims","01/10/2019","04/26/2019"
2014,"AS",402,1,"Natl Security Forces in Am II",20,7,13,0,0,0,"3:00PM","6:00PM","R","SN110","Ryan Kittle","01/10/2019","04/26/2019"
2015,"AS",404,1,"Leadership Laboratory",86,44,42,0,0,0,"5:30PM","8:30PM","M","SN213","Jonathan Crocker","01/10/2019","04/26/2019"
